feature,group_a,group_b,mannwhitney_u,p_value,mean_a,mean_b,mean_difference_a_minus_b,higher_mean_group,p_value_fdr,significant_fdr_0_05
stylo_function_word_ratio,GPT,Gemini,29019.5,6.141058591893742e-15,0.3457979823880001,0.309345661272069,0.03645232111593111,GPT,6.141058591893742e-15,True
stylo_function_word_ratio,DeepSeek,Gemini,28293.0,7.328081064727494e-13,0.3433867387126452,0.309345661272069,0.03404107744057622,DeepSeek,7.328081064727494e-13,True
stylo_function_word_ratio,GPT,Mistral,26298.0,5.1221188395027705e-08,0.3457979823880001,0.31708081428426604,0.028717168103734036,GPT,5.1221188395027705e-08,True
stylo_function_word_ratio,DeepSeek,Mistral,25627.0,1.133750839802138e-06,0.3433867387126452,0.31708081428426604,0.026305924428379146,DeepSeek,1.133750839802138e-06,True
stylo_function_word_ratio,Gemini,Mistral,18280.5,0.1370525079141189,0.309345661272069,0.31708081428426604,-0.007735153012197071,Mistral,0.1370525079141189,False
stylo_function_word_ratio,DeepSeek,GPT,19574.5,0.7131588593046807,0.3433867387126452,0.3457979823880001,-0.0024112436753548905,GPT,0.7131588593046807,False
stylo_long_sentence_ratio,Claude,DeepSeek,4100.5,1.2685613829239981e-43,0.07106923366992855,0.3725633705175113,-0.30149413684758275,DeepSeek,1.2685613829239981e-43,True
stylo_long_sentence_ratio,Claude,Gemini,4665.0,8.187624109135439e-41,0.07106923366992855,0.3175415449488592,-0.24647231127893066,Gemini,8.187624109135439e-41,True
stylo_long_sentence_ratio,Claude,Mistral,9348.5,1.0977875945677832e-20,0.07106923366992855,0.19891231581885604,-0.12784308214892748,Mistral,1.0977875945677832e-20,True
stylo_long_sentence_ratio,DeepSeek,GPT,29678.0,5.121857448569213e-17,0.3725633705175113,0.1854752643437611,0.1870881061737502,DeepSeek,5.121857448569213e-17,True
stylo_long_sentence_ratio,Claude,GPT,10911.0,1.2008381715237763e-15,0.07106923366992855,0.1854752643437611,-0.11440603067383255,GPT,1.2008381715237763e-15,True
stylo_long_sentence_ratio,DeepSeek,Mistral,29040.5,5.055411305283709e-15,0.3725633705175113,0.19891231581885604,0.17365105469865527,DeepSeek,5.055411305283709e-15,True
stylo_long_sentence_ratio,GPT,Gemini,11743.5,8.363610288799599e-13,0.1854752643437611,0.3175415449488592,-0.13206628060509812,Gemini,8.363610288799599e-13,True
stylo_long_sentence_ratio,Gemini,Mistral,27779.0,1.6343045758729755e-11,0.3175415449488592,0.19891231581885604,0.11862922913000318,Gemini,1.6343045758729755e-11,True
stylo_long_sentence_ratio,DeepSeek,Gemini,22443.0,0.034485082385297315,0.3725633705175113,0.3175415449488592,0.055021825568652094,DeepSeek,0.034485082385297315,True
stylo_long_sentence_ratio,GPT,Mistral,18788.0,0.29307640083690945,0.1854752643437611,0.19891231581885604,-0.013437051475094941,Mistral,0.29307640083690945,False
stylo_sentence_length_max,Claude,DeepSeek,4069.5,2.9143204126858007e-43,25.55,36.785,-11.234999999999996,DeepSeek,2.9143204126858007e-43,True
stylo_sentence_length_max,Claude,Gemini,5217.0,1.6755488722501491e-37,25.55,35.45,-9.900000000000002,Gemini,1.6755488722501491e-37,True
stylo_sentence_length_max,DeepSeek,GPT,31782.0,1.9009447594522547e-24,36.785,29.165,7.619999999999997,DeepSeek,1.9009447594522547e-24,True
stylo_sentence_length_max,DeepSeek,Mistral,30302.5,4.547120845145922e-19,36.785,30.165,6.619999999999997,DeepSeek,4.547120845145922e-19,True
stylo_sentence_length_max,GPT,Gemini,10060.0,7.30488851461606e-18,29.165,35.45,-6.285000000000004,Gemini,7.30488851461606e-18,True
stylo_sentence_length_max,Claude,Mistral,10773.5,1.2937823615509704e-15,25.55,30.165,-4.614999999999998,Mistral,1.2937823615509704e-15,True
stylo_sentence_length_max,Gemini,Mistral,28574.0,1.1272938703734141e-13,35.45,30.165,5.285000000000004,Gemini,1.1272938703734141e-13,True
stylo_sentence_length_max,Claude,GPT,11674.5,5.458813283650027e-13,25.55,29.165,-3.6149999999999984,GPT,5.458813283650027e-13,True
stylo_sentence_length_max,DeepSeek,Gemini,22080.5,0.07164912796306677,36.785,35.45,1.3349999999999937,DeepSeek,0.07164912796306677,False
stylo_sentence_length_max,GPT,Mistral,18984.0,0.3787138418878535,29.165,30.165,-1.0,Mistral,0.3787138418878535,False
stylo_type_token_ratio,Claude,GPT,33404.0,4.449940583412581e-31,0.7185447765894117,0.6681563562317868,0.05038842035762492,Claude,4.449940583412581e-31,True
stylo_type_token_ratio,GPT,Gemini,6855.0,5.926632171608785e-30,0.6681563562317868,0.7169081092465501,-0.04875175301476331,Gemini,5.926632171608785e-30,True
stylo_type_token_ratio,GPT,Mistral,9559.0,1.7080200638842833e-19,0.6681563562317868,0.7052875625505647,-0.037131206318777865,Mistral,1.7080200638842833e-19,True
stylo_type_token_ratio,DeepSeek,GPT,28461.0,2.50883128211359e-13,0.6949688156558267,0.6681563562317868,0.02681245942403987,DeepSeek,2.50883128211359e-13,True
stylo_type_token_ratio,Claude,DeepSeek,27099.5,8.207953749747977e-10,0.7185447765894117,0.6949688156558267,0.02357596093358505,Claude,8.207953749747977e-10,True
stylo_type_token_ratio,DeepSeek,Gemini,13449.5,1.4557899230642454e-08,0.6949688156558267,0.7169081092465501,-0.02193929359072344,Gemini,1.4557899230642454e-08,True
stylo_type_token_ratio,Claude,Mistral,23608.0,0.0018065986176544853,0.7185447765894117,0.7052875625505647,0.013257214038847054,Claude,0.0018065986176544853,True
stylo_type_token_ratio,DeepSeek,Mistral,16693.5,0.004238567118142768,0.6949688156558267,0.7052875625505647,-0.010318746894737996,Mistral,0.004238567118142768,True
stylo_type_token_ratio,Gemini,Mistral,22959.5,0.010483241799022894,0.7169081092465501,0.7052875625505647,0.011620546695985445,Gemini,0.010483241799022894,True
stylo_type_token_ratio,Claude,Gemini,20719.5,0.5339982589349737,0.7185447765894117,0.7169081092465501,0.0016366673428616085,Claude,0.5339982589349737,False
stylo_word_count,DeepSeek,GPT,37187.5,1.8681297241812195e-53,218.785,209.16,9.625,DeepSeek,1.8681297241812195e-53,True
stylo_word_count,Claude,DeepSeek,4399.0,3.270219192712476e-45,209.85,218.785,-8.935000000000002,DeepSeek,3.270219192712476e-45,True
stylo_word_count,DeepSeek,Mistral,35215.5,2.7685494274112422e-43,218.785,203.28,15.504999999999995,DeepSeek,2.7685494274112422e-43,True
stylo_word_count,DeepSeek,Gemini,29862.0,6.4911565228900834e-21,218.785,209.65,9.134999999999991,DeepSeek,6.4911565228900834e-21,True
stylo_word_count,Gemini,Mistral,26155.5,8.339302204746039e-08,209.65,203.28,6.3700000000000045,Gemini,8.339302204746039e-08,True
stylo_word_count,Claude,Mistral,25992.5,2.114384267484453e-07,209.85,203.28,6.569999999999993,Claude,2.114384267484453e-07,True
stylo_word_count,GPT,Mistral,25467.0,2.21547190954695e-06,209.16,203.28,5.8799999999999955,GPT,2.21547190954695e-06,True
stylo_word_count,GPT,Gemini,17267.5,0.017649534747773806,209.16,209.65,-0.4900000000000091,Gemini,0.017649534747773806,True
stylo_word_count,Claude,GPT,22204.0,0.05631193713728779,209.85,209.16,0.6899999999999977,Claude,0.05631193713728779,False
stylo_word_count,Claude,Gemini,18161.5,0.10966132548515849,209.85,209.65,0.19999999999998863,Claude,0.10966132548515849,False
